id,user_name,screen_name,location,url,followers_count,friends_count,status_count
267570919,Wayne Swan,SwannyQLD,Brisbane,https://t.co/yJyhculjCQ,100943,2748,17465
780554980847517696,David Littleproud,D_LittleproudMP,"Authorised by David Littleproud, Warwick, Queensland",https://t.co/hkhaJ8HIaJ,5882,269,581
47318173,Karen Andrews MP,karenandrewsmp,"Gold Coast, Australia",https://t.co/oFXJrF74YE,9735,564,2937
16796812,Steven Ciobo,StevenCiobo,"Gold Coast, Australia",https://t.co/voEzJrDX5g,17595,1185,3427
251976625,Graham Perrett,GrahamPerrettMP,,https://t.co/GjD6sK6Ccx,14096,1351,57394
243944570,Milton Dick,MiltonDickMP,"Brisbane, Queensland",https://t.co/XjEAqVfzg2,3335,851,4608
4882704458,Luke Howarth MP,LukeHowarthMP,"Brisbane, Queensland",https://t.co/C6KsdngJ1K,1281,252,1499
258124400,Jim Chalmers MP,JEChalmers,Australia,https://t.co/VzvNUo1Nwq,16600,543,3899
259148388,Hon Jane Prentice,JanePrentice_MP,"Pullenvale, Brisbane",,6388,730,4663
749898673648119808,Llew O'Brien MP,LlewOBrienMP,"Chatsworth, Queensland",https://t.co/XFWpFGHeAr,820,480,413
252833329,Scott Buchholz MP,ScottBuchholzMP,Wright,https://t.co/pNbroMs2zl,3947,424,959
1918770822,Tony Pasin,TonyPasin,"Mount Gambier, SA",http://t.co/YBgkS7A8L5,1909,1116,526
2400738924,Nicolle Flint MP,NicolleFlint,South Australia,,3342,1550,4258
1544916589,Rowan Ramsey,RowanRamseyMP,"Kimba, South Australia",http://t.co/xCRgiRadhX,2195,96,251
104087034,Steve Georganas,stevegeorganas,"Adelaide, Australia",https://t.co/NMRg8IChvO,7466,5529,5819
86257323,Amanda Rishworth MP,AmandaRishworth,Adelaide,https://t.co/v6rPhUi17A,11326,721,1944
4253031505,Rebekha Sharkie MP 💧,MakeMayoMatter,"South Australia, Australia",https://t.co/RH2VIuYq8o,5419,886,1198
2592733051,Christopher Pyne,cpyne,"Adelaide, Australia",https://t.co/IZe57yTT1q,37648,3999,6567
735962595555823616,RossHart,RossHartMP,"Bass, Tasmania",https://t.co/aFkFbrw8B9,1648,612,2602
1637230910,Justine Keay,justinekeay,Devonport,https://t.co/gmkuAcxdsb,1728,395,1531
812382313,Julie Collins,JulieCollinsMP,Hobart,http://t.co/WLR7pAxC7Y,6105,671,3862
16663973,Brian Mitchell MP,BrianMitchellMP,Parliament House Canberra,https://t.co/UeBTLntaAH,3100,540,10049
185932331,Alan Tudge,AlanTudgeMP,"Authorised by A Tudge, Liberal Party, Wantirna South, Victoria",https://t.co/QSlbuhwDsP,11924,365,1839
47273818,Catherine King MP,CatherineKingMP,"Victoria, Australia",https://t.co/QZnLxUCzkn,27446,1139,6728
96088711,Lisa Chesters MP,LMChesters,"Bendigo, Victoria",https://t.co/X3YF7jJdHM,6190,500,11824
750658704949678081,Julian Hill MP,JulianHillMP,Australia,https://t.co/Abs562TSRM,2313,552,839
308935814,Maria Vamvakinou,MariaVamvakinou,"All content authorised by M Vamvakinou, ALP, Shop M0004, 80 Taylors Rd, Keilor Downs, VIC",http://t.co/S3l6fPG5wV,3385,503,911
2932863030,Tony Smith MP,TonySmithMP,"Chirnside Park, Victoria",https://t.co/KHUzKvh8sU,310,4,19
485139839,Richard Marles,RichardMarlesMP,Geelong,https://t.co/uIiLND1pSY,17867,3798,3932
1796057425,Michael Sukkar,MichaelSukkarMP,,https://t.co/GmdynZiPq5,4698,210,2147
60483082,Greg Hunt,GregHuntMP,"Authorised by Greg Hunt MP, Liberal Member for Flinders, Somerville, Victoria",https://t.co/sK6H7ESMXW,51817,2815,4699
14294400,Tim Watts MP,TimWattsMP,"Footscray, Melbourne",https://t.co/umpxrtmU35,23161,6588,36390
514866289,Darren Chester MP,DarrenChesterMP,"Lakes Entrance, VIC",https://t.co/AHQ6pMtI9i,13166,1178,10904
20742888,Tim Wilson MP,TimWilsonMP,"Melbourne | Authorised by T Wilson, 368 Centre Rd, Bentleigh",https://t.co/Mcyz7JiMzj,16550,2814,17786
611598902,Brendan O'Connor,BOConnorMP,,https://t.co/asEP1Q77fm,12911,1121,9112
41543509,Kelly O'Dwyer,KellyODwyer,,,24759,204,1558
259477075,Anthony Byrne,AnthonyByrne_MP,Australia,https://t.co/XQ9SBGzTYK,5037,2505,3377
57906313,Clare O'Neil MP,ClareONeilMP,"Melbourne, Victoria",https://t.co/lnoRd2pPIj,10098,1286,2032
364814582,Cathy McGowan,Indigocathy,"Indigo Valley, Victoria",,21091,13853,5903
4846185439,Mark Dreyfus,markdreyfusQCMP,,https://t.co/xnhtgv1YpA,16160,414,1466
63942152,Josh Frydenberg,JoshFrydenberg,"Authorised J. Frydenberg MP, Liberal Party, Camberwell, VIC",https://t.co/QAM8l2u2JL,49863,509,5753
1631812358,Joanne Ryan MP,JoanneRyanLalor,,https://t.co/7YM8mI7NP7,5383,1393,10237
74049076,Jason Wood,JasonWood_MP,www.jasonwood.com.au,http://t.co/RyqhxfOLQQ,2121,306,376
137198586,Bill Shorten,billshortenmp,,https://t.co/lpRc4OvgFO,331746,11130,6235
198056642,Rob Mitchell,RobMitchellMP,Victoria,http://t.co/S5kq7MoPEc,7761,889,11798
25960714,Adam Bandt,AdamBandt,"Melbourne, Victoria. Authorised by Adam Bandt, The Australian Greens, 296 Brunswick St, Fitzroy, 3065.",https://t.co/blShpvRx3t,179629,19586,11798
252331819,Kevin Andrews,kevinandrewsmp,,https://t.co/flGm0ImTqe,7231,497,1629
713582779,Andrew Giles MP,andrewjgiles,Melbourne,https://t.co/z7yGKnMvTd,8065,1698,10091
139052672,Dan Tehan,DanTehanWannon,"Authorised by Dan Tehan, Liberal Party, Hamilton.",http://t.co/iHeVRiGBTb,11028,1202,2592
